id,event_id,division,distance_m,laps,round_type,round_label,race_number,heat,group_label,rank,bib,skater_name,affiliation,time_text,time_seconds,status,points,page_number,parse_note,is_relay,club_id,skater_id
112995,134,Monopoly Men,1000,,FINAL,Final A,1,,A,1,22,Ethan Sonn,,1:41.090,101.09,,1000.0,,,0,,2
112996,134,Monopoly Men,1000,,FINAL,Final A,1,,A,2,11,Matthew Lorenz,,1:44.510,104.51,,800.0,,,0,,87
112997,134,Monopoly Men,1000,,FINAL,Final A,1,,A,3,33,Andrew Ellison,,1:45.640,105.64,,640.0,,,0,,6
112998,134,Monopoly Men,1000,,FINAL,Final A,1,,A,4,44,Corin Habecker,,1:46.910,106.91,,512.0,,,0,,267
112999,134,Scrabble Men,777,,HEATS,Heat 1 of 2,2,1,,1,77,Eben Emnmanuel Tinidad,,1:26.550,86.55,Q,,,,0,,3831
113000,134,Scrabble Men,777,,HEATS,Heat 1 of 2,2,1,,2,88,Victor Li,,1:29.760,89.76,Q,,,,0,,47
113001,134,Scrabble Men,777,,HEATS,Heat 1 of 2,2,1,,3,27,Logan Young,,1:29.890,89.89,Q,,,,0,,392
113002,134,Scrabble Men,777,,HEATS,Heat 1 of 2,2,1,,4,38,Liam Sears,,1:33.270,93.27,,,,,0,,1
113003,134,Scrabble Men,777,,HEATS,Heat 2 of 2,2,2,,1,55,Roman Hastings,,1:24.865,84.865,Q,,,,0,,56
113004,134,Scrabble Men,777,,HEATS,Heat 2 of 2,2,2,,2,5,Andrew Sonn,,1:29.260,89.26,Q,,,,0,,7
113005,134,Scrabble Men,777,,HEATS,Heat 2 of 2,2,2,,3,49,Isabella Moreno,,1:34.140,94.14,,,,,0,,83
113006,134,Scrabble Men,777,,HEATS,Heat 2 of 2,2,2,,4,16,Timothy Yang,,1:58.220,118.22,,,,,0,,14
113007,134,Scrabble Men,777,,HEATS,Heat 2 of 2,2,2,,,66,Sophia Ashley-Martin,,,,DNS,,,,0,,288
