id,event_id,section_type,division,distance_m,rank,bib,skater_name,affiliation,points,skater_status,cdr,bdr,semi_group,final_group,best_time_text,best_time_seconds,page_number,club_id,skater_id
,128,overall,NEST Women,,1,106,Isabella Chen,Potomac Speedskating,30000,,,,,,1:42.850,102.85,,1,89
,128,overall,NEST Women,,2,124,Sofia Koons,Lakewood Speedskating,22460,,,,,,1:44.230,104.23,,14,9
,128,overall,NEST Women,,3,110,Makayla Chou,Potomac Speedskating,17677,,,,,,1:45.730,105.73,,1,109
,128,overall,NEST Women,,4,141,Tiffany Zhang,Potomac Speedskating,14336,,,,,,2:12.560,132.56,,1,207
,128,overall,NEST Women,,5,130,Sasha Mensah,Danbury Speedskating,13312,,,,,,1:50.520,110.52,,8,23
,128,overall,NEST Women,,6,115,Kassandra Haeupl,Lakewood Speedskating,12954,,,,,,1:48.160,108.16,,14,1113
,128,overall,NEST Women,,7,102,Diana Bickmore,Danbury Speedskating,6396,,,,,,1:50.340,110.34,,8,90
,128,overall,NEST Women,,8,113,Sarah Girach,Danbury Speedskating,5872,,,,,,1:53.380,113.38,,8,34
,128,overall,NEST Women,,9,131,Tatyana Pometun,East Penn Speedskating,5641,,,,,,1:48.730,108.73,,10,60
,128,overall,NEST Women,,10,137,Therese Sowa,Bay State Speedskating,5305,,,,,,2:01.260,121.26,,5,226
,128,overall,NEST Women,,11,101,Nagi Aitbayeva,Syracuse Speed Skating,3222,,,,,,1:54.580,114.58,,28,314
,128,overall,NEST Women,,12,111,Sara Cushman,Bay State Speedskating,2577,,,,,,1:55.640,115.64,,5,37
,128,overall,NEST Men,,1,223,Lucas Wu,Potomac Speedskating,30000,,,,,,1:43.140,103.14,,1,58
,128,overall,NEST Men,,2,213,Robert Tolliver,Potomac Speedskating,20800,,,,,,1:43.640,103.64,,1,36
,128,overall,NEST Men,,3,205,Lucas Shi,Oval Speedskating,19520,,,,,,1:43.420,103.42,,17,379
,128,overall,NEST Men,,4,145,Xavier Babkine-Osterrath,Danbury Speedskating,18240,,,,,,1:43.850,103.85,,8,121
,128,overall,NEST Men,,5,182,Ethan Lin,Potomac Speedskating,12288,,,,,,1:44.640,104.64,,1,69
,128,overall,NEST Men,,6,174,Gihoon Kuh,Potomac Speedskating,8232,,,,,,1:43.420,103.42,,1,480
,128,overall,NEST Men,,7,200,Gabriel Rillotta,Potomac Speedskating,7863,,,,,,1:43.670,103.67,,1,33
,128,overall,NEST Men,,8,209,Frederick Sowa,Bay State Speedskating,6633,,,,,,1:43.990,103.99,,5,160
,128,overall,NEST Men,,9,170,Ryan Huang,Potomac Speedskating,6291,,,,,,1:43.850,103.85,,1,39
,128,overall,NEST Men,,10,215,Tim VanFleet,East Penn Speedskating,4026,,,,,,1:45.990,105.99,,10,156
