id,event_id,section_type,division,distance_m,rank,bib,skater_name,affiliation,points,skater_status,cdr,bdr,semi_group,final_group,best_time_text,best_time_seconds,page_number,club_id,skater_id
,162,overall,Division 1,,1,202,Andrew Youn,PGS,38500,,,,,,0:45.720,45.72,,9,963
,162,overall,Division 1,,2,201,Edwin Niu,PGS,35500,,,,,,0:45.543,45.543,,9,869
,162,overall,Division 1,,3,203,Vincent Gu,PGS,28900,,,,,,0:50.740,50.74,,9,1178
,162,overall,Division 2,,1,207,Winston Dang,PGS,20000,,,,,,0:35.147,35.147,,9,756
,162,overall,Division 2,,2,209,Ari Im*,PGS,17000,,,,,,0:35.330,35.33,,9,696
,162,overall,Division 2,,3,205,Jonathan Lee,PGS,13366,,,,,,0:35.403,35.403,,9,585
,162,overall,Division 2,,4,204,Ethan Zhou,PGS,13366,,,,,,0:36.647,36.647,,9,627
,162,overall,Division 2,,5,208,Brandon So,PGS,10440,,,,,,0:36.019,36.019,,9,755
,162,overall,Division 2,,6,210,Soyool (Aria) Shin*,PGS,8874,,,,,,0:38.870,38.87,,9,733
,162,overall,Division 3,,1,216,Chloe Kim*,PGS,20000,,,,,,0:54.973,54.973,,9,344
,162,overall,Division 3,,2,215,Shirn Dang*,PGS,15725,,,,,,0:57.123,57.123,,9,3607
,162,overall,Division 3,,3,214,Jenn Oh*,PGS,15725,,,,,,0:56.906,56.906,,9,628
,162,overall,Division 3,,4,213,Nikita Quezon*,PGS,12282,,,,,,1:03.939,63.939,,9,782
,162,overall,Division 3,,5,211,Aaron Zhou,PGS,10440,,,,,,1:07.904,67.904,,9,629
,162,overall,Division 3,,6,212,Mason Ha,PGS,8874,,,,,,1:13.944,73.944,,9,783
,162,overall,Division 4,,1,222,Leah Choi*,PGS,18500,,,,,,0:53.173,53.173,,9,655
,162,overall,Division 4,,2,218,Juliette Song*,PGS,18500,,,,,,0:53.040,53.04,,9,3892
,162,overall,Division 4,,3,220,Aileen Oh*,PGS,12445,,,,,,0:55.010,55.01,,9,619
,162,overall,Division 4,,4,219,Elisha Lee*,PGS,12445,,,,,,0:54.223,54.223,,9,657
,162,overall,Division 4,,5,221,Allison La*,PGS,10578,,,,,,0:54.590,54.59,,9,1009
,162,overall,Division 4,,6,223,Audrey Han*,PGS,10578,,,,,,0:55.362,55.362,,9,618
,162,overall,Division 5,,1,230,Elrond Gica,PGS,20000,,,,,,,,,9,735
,162,overall,Division 5,,2,226,Colin Lee,PGS,17000,,,,,,,,,9,654
,162,overall,Division 5,,3,225,Enoch Jeon,PGS,14450,,,,,,,,,9,1581
,162,overall,Division 5,,4,229,Jayden Oh,PGS,12282,,,,,,,,,9,837
,162,overall,Division 5,,5,228,Eric Choi,PGS,10440,,,,,,,,,9,677
,162,overall,Division 5,,6,227,Aaron Choi,PGS,8208,,,,,,,,,9,656
,162,overall,Division 5,,7,224,Nathan Ifrah,MTV,8208,,,,,,,,,78,1693
,162,overall,Division 6,,1,235,Jeremy Kerslake,PGS,20000,,,,,,0:59.380,59.38,,9,697
,162,overall,Division 6,,2,232,Mike Jernquist,PGS,17000,,,,,,0:59.720,59.72,,9,815
,162,overall,Division 6,,3,231,Branden DeMass,PGS,14450,,,,,,1:00.520,60.52,,9,784
,162,overall,Division 6,,4,234,Eric Moberly,PGS,12282,,,,,,1:10.560,70.56,,9,890
,162,overall,Division 6,,5,233,Edison Gica,PGS,10440,,,,,,1:32.950,92.95,,9,816
,162,overall,Division 6,,6,237,Jim Au,MTV,,,,,,,,,,78,653
