id,event_id,section_type,division,distance_m,rank,bib,skater_name,affiliation,points,skater_status,cdr,bdr,semi_group,final_group,best_time_text,best_time_seconds,page_number,club_id,skater_id
,162,distance,Division 1,255,1,201,Edwin Niu,PGS,10000,,,,,,,,,9,869
,162,distance,Division 1,255,2,202,Andrew Youn,PGS,8500,,,,,,,,,9,963
,162,distance,Division 1,255,3,203,Vincent Gu,PGS,7225,,,,,,,,,9,1178
,162,distance,Division 1,255,1,202,Andrew Youn,PGS,10000,,,,,,,,,9,963
,162,distance,Division 1,255,2,201,Edwin Niu,PGS,8500,,,,,,,,,9,869
,162,distance,Division 1,255,3,203,Vincent Gu,PGS,7225,,,,,,,,,9,1178
,162,distance,Division 1,440,1,202,Andrew Youn,PGS,10000,,,,,,,,,9,963
,162,distance,Division 1,440,2,201,Edwin Niu,PGS,8500,,,,,,,,,9,869
,162,distance,Division 1,440,3,203,Vincent Gu,PGS,7225,,,,,,,,,9,1178
,162,distance,Division 1,440,1,202,Andrew Youn,PGS,10000,,,,,,,,,9,963
,162,distance,Division 1,440,2,201,Edwin Niu,PGS,8500,,,,,,,,,9,869
,162,distance,Division 1,440,3,203,Vincent Gu,PGS,7225,,,,,,,,,9,1178
,162,distance,Division 2,255,1,207,Winston Dang,PGS,10000,,,,,,,,,9,756
,162,distance,Division 2,255,2,209,Ari Im*,PGS,8500,,,,,,,,,9,696
,162,distance,Division 2,255,3,205,Jonathan Lee,PGS,7225,,,,,,,,,9,585
,162,distance,Division 2,255,4,204,Ethan Zhou,PGS,6141,,,,,,,,,9,627
,162,distance,Division 2,255,5,208,Brandon So,PGS,5220,,,,,,,,,9,755
,162,distance,Division 2,255,6,210,Soyool (Aria) Shin*,PGS,4437,,,,,,,,,9,733
,162,distance,Division 2,595,1,207,Winston Dang,PGS,10000,,,,,,,,,9,756
,162,distance,Division 2,595,2,209,Ari Im*,PGS,8500,,,,,,,,,9,696
,162,distance,Division 2,595,3,204,Ethan Zhou,PGS,7225,,,,,,,,,9,627
,162,distance,Division 2,595,4,205,Jonathan Lee,PGS,6141,,,,,,,,,9,585
,162,distance,Division 2,595,5,208,Brandon So,PGS,5220,,,,,,,,,9,755
,162,distance,Division 2,595,6,210,Soyool (Aria) Shin*,PGS,4437,,,,,,,,,9,733
,162,distance,Division 3,500,1,216,Chloe Kim*,PGS,10000,,,,,,,,,9,344
,162,distance,Division 3,500,2,214,Jenn Oh*,PGS,8500,,,,,,,,,9,628
,162,distance,Division 3,500,3,215,Shirn Dang*,PGS,7225,,,,,,,,,9,3607
,162,distance,Division 3,500,4,213,Nikita Quezon*,PGS,6141,,,,,,,,,9,782
,162,distance,Division 3,500,5,211,Aaron Zhou,PGS,5220,,,,,,,,,9,629
,162,distance,Division 3,500,6,212,Mason Ha,PGS,4437,,,,,,,,,9,783
,162,distance,Division 3,1000,1,216,Chloe Kim*,PGS,10000,,,,,,,,,9,344
,162,distance,Division 3,1000,2,215,Shirn Dang*,PGS,8500,,,,,,,,,9,3607
,162,distance,Division 3,1000,3,214,Jenn Oh*,PGS,7225,,,,,,,,,9,628
,162,distance,Division 3,1000,4,213,Nikita Quezon*,PGS,6141,,,,,,,,,9,782
,162,distance,Division 3,1000,5,211,Aaron Zhou,PGS,5220,,,,,,,,,9,629
,162,distance,Division 3,1000,6,212,Mason Ha,PGS,4437,,,,,,,,,9,783
,162,distance,Division 4,500,1,218,Juliette Song*,PGS,10000,,,,,,,,,9,3892
,162,distance,Division 4,500,2,222,Leah Choi*,PGS,8500,,,,,,,,,9,655
,162,distance,Division 4,500,3,219,Elisha Lee*,PGS,7225,,,,,,,,,9,657
,162,distance,Division 4,500,4,221,Allison La*,PGS,6141,,,,,,,,,9,1009
,162,distance,Division 4,500,5,220,Aileen Oh*,PGS,5220,,,,,,,,,9,619
,162,distance,Division 4,500,6,223,Audrey Han*,PGS,4437,,,,,,,,,9,618
,162,distance,Division 4,1000,1,222,Leah Choi*,PGS,10000,,,,,,,,,9,655
,162,distance,Division 4,1000,2,218,Juliette Song*,PGS,8500,,,,,,,,,9,3892
,162,distance,Division 4,1000,3,220,Aileen Oh*,PGS,7225,,,,,,,,,9,619
,162,distance,Division 4,1000,4,223,Audrey Han*,PGS,6141,,,,,,,,,9,618
,162,distance,Division 4,1000,5,219,Elisha Lee*,PGS,5220,,,,,,,,,9,657
,162,distance,Division 4,1000,6,221,Allison La*,PGS,4437,,,,,,,,,9,1009
,162,distance,Division 5,500,1,230,Elrond Gica,PGS,10000,,,,,,,,,9,735
,162,distance,Division 5,500,2,226,Colin Lee,PGS,8500,,,,,,,,,9,654
,162,distance,Division 5,500,3,225,Enoch Jeon,PGS,7225,,,,,,,,,9,1581
,162,distance,Division 5,500,4,229,Jayden Oh,PGS,6141,,,,,,,,,9,837
,162,distance,Division 5,500,5,228,Eric Choi,PGS,5220,,,,,,,,,9,677
,162,distance,Division 5,500,6,224,Nathan Ifrah,MTV,4437,,,,,,,,,78,1693
,162,distance,Division 5,500,7,227,Aaron Choi,PGS,3771,,,,,,,,,9,656
,162,distance,Division 5,1000,1,230,Elrond Gica,PGS,10000,,,,,,,,,9,735
,162,distance,Division 5,1000,2,226,Colin Lee,PGS,8500,,,,,,,,,9,654
,162,distance,Division 5,1000,3,225,Enoch Jeon,PGS,7225,,,,,,,,,9,1581
,162,distance,Division 5,1000,4,229,Jayden Oh,PGS,6141,,,,,,,,,9,837
,162,distance,Division 5,1000,5,228,Eric Choi,PGS,5220,,,,,,,,,9,677
,162,distance,Division 5,1000,6,227,Aaron Choi,PGS,4437,,,,,,,,,9,656
,162,distance,Division 5,1000,7,224,Nathan Ifrah,MTV,3771,,,,,,,,,78,1693
,162,distance,Division 6,500,1,235,Jeremy Kerslake,PGS,10000,,,,,,,,,9,697
,162,distance,Division 6,500,2,232,Mike Jernquist,PGS,8500,,,,,,,,,9,815
,162,distance,Division 6,500,3,231,Branden DeMass,PGS,7225,,,,,,,,,9,784
,162,distance,Division 6,500,4,234,Eric Moberly,PGS,6141,,,,,,,,,9,890
,162,distance,Division 6,500,5,233,Edison Gica,PGS,5220,,,,,,,,,9,816
,162,distance,Division 6,1000,1,235,Jeremy Kerslake,PGS,10000,,,,,,,,,9,697
,162,distance,Division 6,1000,2,232,Mike Jernquist,PGS,8500,,,,,,,,,9,815
,162,distance,Division 6,1000,3,231,Branden DeMass,PGS,7225,,,,,,,,,9,784
,162,distance,Division 6,1000,4,234,Eric Moberly,PGS,6141,,,,,,,,,9,890
,162,distance,Division 6,1000,5,233,Edison Gica,PGS,5220,,,,,,,,,9,816
